identifica,xCentroid,yCentroid
"0344100000000359",132894.527,455773.447
"0344100000000381",131210.809,456294.572
"0344100000000025",131138.560,456294.476
"0344100000000438",132458.395,456335.517
"0344100000000058",131760.436,455820.331
"0344100000000059",131765.509,455818.974
"0344100000000060",132559.987,455812.524
"0344100000000071",131289.430,456620.020
"0344100000000450",131268.057,456119.545
"0344100000000462",132480.077,456255.036
"0344100000000463",132483.972,456250.532
"0344100000000852",131288.071,456808.359
"0344100000000483",132145.818,456158.562
"0344100000000487",131346.385,456132.456
"0344100000000861",132715.938,455560.726
"0344100000000125",132514.581,455851.900
"0344100000000127",131830.876,455949.528
"0344100000000512",132810.000,455824.139
"0344100000001363",131313.813,456667.730
"0344100000000143",132947.435,455805.372
"0344100000000144",132482.355,455668.675
"0344100000001392",131688.391,455917.240
"0344100000000916",131335.487,456363.988
"0344100000000555",132415.722,455773.335
"0344100000000562",131583.179,456699.698
"0344100000000563",131590.851,456706.410
"0344100000000218",132735.365,455693.966
"0344100000000569",132794.168,455599.299
"0344100000000945",132662.220,455451.211
"0344100000000946",132671.390,455448.928
"0344100000001893",132770.531,455862.300
"0344100000001429",131447.370,456349.920
"0344100000001430",131450.715,456344.167
"0344100000001433",132466.830,455642.492
"0344100000001434",132592.636,456182.465
"0344100000000213",132863.822,455895.176
"0344100000001911",132513.743,456160.624
"0344100000001912",132520.087,456158.997
"0344100000000965",132152.232,456361.853
"0344100000002848",132865.599,455739.440
"0344100000001918",132560.003,455661.964
"0344100000001931",131278.569,456524.459
"0344100000000239",131374.596,456148.679
"0344100000000612",132545.784,455452.696
"0344100000000244",131246.182,456153.131
"0344100000002403",131967.594,456149.510
"0344100000000255",132912.438,455695.085
"0344100000000621",131199.883,456144.265
"0344100000001001",131868.471,455616.473
"0344100000000622",131192.099,456144.517
"0344100000001006",131219.120,456618.997
"0344100000001007",131224.515,456608.970
"0344100000000624",132665.966,455529.965
"0344100000003352",132566.225,456148.662
"0344100000002427",132835.918,455851.385
"0344100000003363",131279.431,455812.928
"0344100000002437",132435.048,455661.677
"0344100000001034",131320.162,456541.190
"0344100000000660",132343.555,455362.209
"0344100000003372",131233.550,456383.059
"0344100000002918",132225.614,456086.073
"0344100000001993",132913.706,455774.479
